Film,Name,As time
EPISODE I: THE PHANTOM MENACE,Darth Vader,0.979166667
EPISODE II: ATTACK OF THE CLONES,Darth Vader,0.033333333
EPISODE III: REVENGE OF THE SITH,Darth Vader,0.197916667
EPISODE IV: A NEW HOPE,Darth Vader,0.385416667
EPISODE V: THE EMPIRE STRIKES BACK,Darth Vader,0.552083333
EPISODE VI: RETURN OF THE JEDI,Darth Vader,0.614583333
ROGUE ONE (2016),Darth Vader,0.002083333
EPISODE I: THE PHANTOM MENACE,Obi-Wan Kenobi,0.885416667
EPISODE II: ATTACK OF THE CLONES,Obi-Wan Kenobi,0.023611111
EPISODE III: REVENGE OF THE SITH,Obi-Wan Kenobi,0.552083333
EPISODE IV: A NEW HOPE,Obi-Wan Kenobi,0.729166667
EPISODE V: THE EMPIRE STRIKES BACK,Obi-Wan Kenobi,0.000694444
EPISODE VI: RETURN OF THE JEDI,Obi-Wan Kenobi,0.09375
EPISODE III: REVENGE OF THE SITH,Luke Skywalker,0.03125
EPISODE IV: A NEW HOPE,Luke Skywalker,0.5625
EPISODE V: THE EMPIRE STRIKES BACK,Luke Skywalker,0.447916667
EPISODE VI: RETURN OF THE JEDI,Luke Skywalker,0.427083333
EPISODE VII: THE FORCE AWAKENS,Luke Skywalker,0.03125
EPISODE IV: A NEW HOPE,Han Solo,0.8125
EPISODE V: THE EMPIRE STRIKES BACK,Han Solo,0.979166667
EPISODE VI: RETURN OF THE JEDI,Han Solo,0.739583333
EPISODE VII: THE FORCE AWAKENS,Han Solo,0.014583333
EPISODE I: THE PHANTOM MENACE,PadmĚŠ Amidala,0.895833333
EPISODE II: ATTACK OF THE CLONES,PadmĚŠ Amidala,0.34375
EPISODE III: REVENGE OF THE SITH,PadmĚŠ Amidala,0.760416667
EPISODE III: REVENGE OF THE SITH,Princess Leia Organa,0.020833333
EPISODE IV: A NEW HOPE,Princess Leia Organa,0.5625
EPISODE V: THE EMPIRE STRIKES BACK,Princess Leia Organa,0.947916667
EPISODE VI: RETURN OF THE JEDI,Princess Leia Organa,0.885416667
EPISODE VII: THE FORCE AWAKENS,Princess Leia Organa,0.239583333
ROGUE ONE,Princess Leia Organa,0.010416667
EPISODE I: THE PHANTOM MENACE,C-3PO,0.001388889
EPISODE II: ATTACK OF THE CLONES,C-3PO,0.177083333
EPISODE III: REVENGE OF THE SITH,C-3PO,0.114583333
EPISODE IV: A NEW HOPE,C-3PO,0.8125
EPISODE V: THE EMPIRE STRIKES BACK,C-3PO,0.604166667
EPISODE VI: RETURN OF THE JEDI,C-3PO,0.5625
EPISODE VII: THE FORCE AWAKENS,C-3PO,0.0625
ROGUE ONE,C-3PO,#VALUE!
EPISODE I: THE PHANTOM MENACE,R2-D2,0.302083333
EPISODE II: ATTACK OF THE CLONES,R2-D2,0.21875
EPISODE III: REVENGE OF THE SITH,R2-D2,0.003472222
EPISODE IV: A NEW HOPE,R2-D2,0.0125
EPISODE V: THE EMPIRE STRIKES BACK,R2-D2,0.46875
EPISODE VI: RETURN OF THE JEDI,R2-D2,0.302083333
EPISODE VII: THE FORCE AWAKENS,R2-D2,0.0625
ROGUE ONE,R2-D2,#VALUE!
EPISODE III: REVENGE OF THE SITH,Chewbacca,0.000694444
EPISODE IV: A NEW HOPE,Chewbacca,0.007638889
EPISODE V: THE EMPIRE STRIKES BACK,Chewbacca,0.6875
EPISODE VI: RETURN OF THE JEDI,Chewbacca,0.4375
EPISODE VII: THE FORCE AWAKENS,Chewbacca,0.354166667
EPISODE I: THE PHANTOM MENACE,Emperor Palpatine,0.302083333
EPISODE II: ATTACK OF THE CLONES,Emperor Palpatine,0.002777778
EPISODE III: REVENGE OF THE SITH,Emperor Palpatine,0.03125
EPISODE V: THE EMPIRE STRIKES BACK,Emperor Palpatine,0.000694444
EPISODE VI: RETURN OF THE JEDI,Emperor Palpatine,0.004166667
EPISODE VII: THE FORCE AWAKENS,Rey,0.770833333
EPISODE I: THE PHANTOM MENACE,Yoda,0.145833333
EPISODE II: ATTACK OF THE CLONES,Yoda,0.40625
EPISODE III: REVENGE OF THE SITH,Yoda,0.489583333
EPISODE V: THE EMPIRE STRIKES BACK,Yoda,0.520833333
EPISODE VI: RETURN OF THE JEDI,Yoda,0.002777778
ROGUE ONE,Jyn Erso,0.489583333
EPISODE I: THE PHANTOM MENACE,Qui-Gon Jinn,0.479166667
EPISODE VII: THE FORCE AWAKENS,Finn,0.020833333
ROGUE ONE,Cassian Andor,0.017361111
EPISODE I: THE PHANTOM MENACE,Jar Jar Binks,0.739583333
EPISODE II: ATTACK OF THE CLONES,Jar Jar Binks,0.09375
EPISODE III: REVENGE OF THE SITH,Jar Jar Binks,0.010416667
EPISODE VII: THE FORCE AWAKENS,Kylo Ren,0.802083333
EPISODE V: THE EMPIRE STRIKES BACK,Lando Calrissian,0.385416667
EPISODE VI: RETURN OF THE JEDI,Lando Calrissian,0.21875
EPISODE I: THE PHANTOM MENACE,Mace Windu,0.09375
EPISODE II: ATTACK OF THE CLONES,Mace Windu,0.004861111
EPISODE III: REVENGE OF THE SITH,Mace Windu,0.21875
ROGUE ONE,Bodhi Rook,0.489583333
EPISODE II: ATTACK OF THE CLONES,Count Dooku,0.395833333
EPISODE III: REVENGE OF THE SITH,Count Dooku,0.001388889
EPISODE VII: THE FORCE AWAKENS,BB-8,0.427083333
ROGUE ONE,Orson Krennic,0.006944444
EPISODE I: THE PHANTOM MENACE,Shmi Skywalker,0.302083333
EPISODE II: ATTACK OF THE CLONES,Shmi Skywalker,0.001388889
ROGUE ONE,Chirrut Ě_mwe,0.00625
EPISODE VII: THE FORCE AWAKENS,Poe Dameron,0.364583333
EPISODE III: REVENGE OF THE SITH,Grand Moff Tarkin,0.010416667
EPISODE IV: A NEW HOPE,Grand Moff Tarkin,0.21875
ROGUE ONE,Grand Moff Tarkin,0.135416667
ROGUE ONE,K-2SO,0.364583333
EPISODE I: THE PHANTOM MENACE,Viceroy Nute Gunray,0.004166667
EPISODE II: ATTACK OF THE CLONES,Viceroy Nute Gunray,0.052083333
EPISODE III: REVENGE OF THE SITH,Viceroy Nute Gunray,0.000694444
ROGUE ONE,Baze Malbus,0.005555556
EPISODE I: THE PHANTOM MENACE,Captain Panaka,0.3125
EPISODE I: THE PHANTOM MENACE,Jabba the Hutt,0.020833333
EPISODE VI: RETURN OF THE JEDI,Jabba the Hutt,0.260416667
EPISODE II: ATTACK OF THE CLONES,Senator Bail Organa,0.03125
EPISODE III: REVENGE OF THE SITH,Senator Bail Organa,0.1875
ROGUE ONE,Senator Bail Organa,0.052083333
ROGUE ONE,Galen Erso,0.270833333
EPISODE III: REVENGE OF THE SITH,General Grievous,0.270833333
EPISODE I: THE PHANTOM MENACE,Watto,0.1875
EPISODE II: ATTACK OF THE CLONES,Watto,0.0625
EPISODE I: THE PHANTOM MENACE,Darth Maul,0.004166667
EPISODE II: ATTACK OF THE CLONES,Owen Lars,0.0625
EPISODE III: REVENGE OF THE SITH,Owen Lars,0.020833333
EPISODE IV: A NEW HOPE,Owen Lars,0.135416667
EPISODE II: ATTACK OF THE CLONES,Boba Fett,0.09375
EPISODE V: THE EMPIRE STRIKES BACK,Boba Fett,0.072916667
EPISODE VI: RETURN OF THE JEDI,Boba Fett,0.000694444
ROGUE ONE,Saw Gerrera,0.197916667
EPISODE II: ATTACK OF THE CLONES,Jango Fett,0.197916667
EPISODE I: THE PHANTOM MENACE,Ki-Adi-Mundi,0.052083333
EPISODE II: ATTACK OF THE CLONES,Ki-Adi-Mundi,0.052083333
EPISODE III: REVENGE OF THE SITH,Ki-Adi-Mundi,0.072916667
EPISODE II: ATTACK OF THE CLONES,Beru Lars,0.052083333
EPISODE III: REVENGE OF THE SITH,Beru Lars,0.020833333
EPISODE IV: A NEW HOPE,Beru Lars,0.072916667
EPISODE VII: THE FORCE AWAKENS,Maz Kanata,0.145833333
EPISODE VI: RETURN OF THE JEDI,Wicket W. Warrick,0.145833333
EPISODE VI: RETURN OF THE JEDI,Mon Mothma,0.000694444
ROGUE ONE,Mon Mothma,0.09375
EPISODE VII: THE FORCE AWAKENS,General Hux,0.135416667
EPISODE V: THE EMPIRE STRIKES BACK,Admiral Piett,0.09375
EPISODE VI: RETURN OF THE JEDI,Admiral Piett,0.000694444
EPISODE VI: RETURN OF THE JEDI,Admiral Ackbar,0.114583333
EPISODE VII: THE FORCE AWAKENS,Admiral Ackbar,0.020833333
EPISODE I: THE PHANTOM MENACE,Sio Bibble,0.114583333
EPISODE II: ATTACK OF THE CLONES,Sio Bibble,0.020833333
EPISODE III: REVENGE OF THE SITH,Sio Bibble,#VALUE!
EPISODE I: THE PHANTOM MENACE,Boss Nass,0.002083333
EPISODE III: REVENGE OF THE SITH,Boss Nass,#VALUE!
EPISODE I: THE PHANTOM MENACE,Bib Fortuna,0.010416667
EPISODE VI: RETURN OF THE JEDI,Bib Fortuna,0.114583333
EPISODE II: ATTACK OF THE CLONES,Zam Wesell,0.114583333
EPISODE IV: A NEW HOPE,Wedge Antilles,0.03125
EPISODE V: THE EMPIRE STRIKES BACK,Wedge Antilles,0.020833333
EPISODE VI: RETURN OF THE JEDI,Wedge Antilles,0.052083333
EPISODE II: ATTACK OF THE CLONES,Taun We,0.104166667
EPISODE II: ATTACK OF THE CLONES,Captain Typho,0.001388889
EPISODE III: REVENGE OF THE SITH,Captain Typho,0.010416667
EPISODE IV: A NEW HOPE,General Dodonna,0.0625
ROGUE ONE,General Dodonna,0.03125
ROGUE ONE,General Draven,0.09375
EPISODE I: THE PHANTOM MENACE,SabĚŠ,0.09375
EPISODE VII: THE FORCE AWAKENS,Supreme Leader Snoke,0.001388889
EPISODE II: ATTACK OF THE CLONES,Cliegg Lars,0.001388889
EPISODE II: ATTACK OF THE CLONES,Lama Su,0.001388889
EPISODE VII: THE FORCE AWAKENS,Captain Phasma,0.072916667
EPISODE VII: THE FORCE AWAKENS,Lor San Tekka,0.072916667
EPISODE VI: RETURN OF THE JEDI,Nien Nunb,0.0625
EPISODE VII: THE FORCE AWAKENS,Nien Nunb,0.010416667
EPISODE I: THE PHANTOM MENACE,Sebulba,0.072916667
EPISODE VI: RETURN OF THE JEDI,Moff Jerjerrod,0.0625
EPISODE II: ATTACK OF THE CLONES,DormĚŠ,0.0625
EPISODE I: THE PHANTOM MENACE,Chancellor Valorum,0.0625
ROGUE ONE,Lyra Erso,0.0625
EPISODE V: THE EMPIRE STRIKES BACK,General Rieekan,0.0625
EPISODE V: THE EMPIRE STRIKES BACK,Captain Needa,0.0625
EPISODE III: REVENGE OF THE SITH,Commander Cody,0.052083333
ROGUE ONE,Admiral Raddus,0.052083333
EPISODE IV: A NEW HOPE,Biggs Darklighter,0.000694444